300.00 	0.621 
299.00 	0.601 
298.00 	0.582 
297.00 	0.565 
296.00 	0.548 
295.00 	0.533 
294.00 	0.520 
293.00 	0.509 
292.00 	0.498 
291.00 	0.489 
290.00 	0.480 
289.00 	0.474 
288.00 	0.468 
287.00 	0.465 
286.00 	0.463 
285.00 	0.463 
284.00 	0.464 
283.00 	0.466 
282.00 	0.469 
281.00 	0.474 
280.00 	0.481 
279.00 	0.489 
278.00 	0.499 
277.00 	0.508 
276.00 	0.520 
275.00 	0.530 
274.00 	0.542 
273.00 	0.556 
272.00 	0.572 
271.00 	0.590 
270.00 	0.609 
269.00 	0.630 
268.00 	0.651 
267.00 	0.676 
266.00 	0.703 
265.00 	0.733 
264.00 	0.769 
263.00 	0.808 
262.00 	0.852 
261.00 	0.898 
260.00 	0.941 
259.00 	0.982 
258.00 	1.015 
257.00 	1.039 
256.00 	1.055 
255.00 	1.063 
254.00 	1.065 
253.00 	1.064 
252.00 	1.063 
251.00 	1.060 
250.00 	1.057 
249.00 	1.053 
248.00 	1.050 
247.00 	1.043 
246.00 	1.037 
245.00 	1.032 
244.00 	1.024 
243.00 	1.019 
242.00 	1.012 
241.00 	1.002 
240.00 	0.994 
239.00 	0.986 
238.00 	0.976 
237.00 	0.969 
236.00 	0.961 
235.00 	0.953 
234.00 	0.942 
233.00 	0.934 
232.00 	0.922 
231.00 	0.913 
230.00 	0.903 
229.00 	0.893 
228.00 	0.882 
227.00 	0.870 
226.00 	0.860 
225.00 	0.846 
224.00 	0.836 
223.00 	0.823 
222.00 	0.813 
221.00 	0.799 
220.00 	0.789 
219.00 	0.776 
218.00 	0.760 
217.00 	0.742 
216.00 	0.727 
215.00 	0.703 
214.00 	0.682 
213.00 	0.653 
212.00 	0.619 
211.00 	0.576 
210.00 	0.528 
209.00 	0.466 
208.00 	0.394 
207.00 	0.300 
206.00 	0.186 
205.00 	0.048 
204.00 	-0.118 
203.00 	-0.326 
202.00 	-0.575 
201.00 	-0.854 
200.00 	-1.114 
199.00 	-1.297 
198.00 	-1.407 
197.00 	-1.367 
196.00 	-1.293 
195.00 	-1.179 
194.00 	-1.072 
193.00 	-0.935 
192.00 	-0.763 
191.00 	-0.596 
190.00 	-0.392 
