Sample:	'20211010A(EM)
File name:	r-cds 1;5 2.FDS
Run date:	'08:06:33, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	530.0 nm
EM  Start WL:	550.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	800 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	552.2	553.0	554.6	20.31	554.6	15.92
2	554.6	555.4	557.2	21.37	557.2	18.16
3	557.2	563.0	563.8	28.46	563.8	24.40
4	563.8	564.8	566.2	30.33	566.2	26.99
5	566.2	567.2	568.0	31.24	568.0	28.95
6	568.0	571.8	572.4	37.80	572.4	35.04
7	572.4	574.0	574.8	43.93	574.8	34.25
8	574.8	579.0	579.8	48.80	579.8	43.31
9	579.8	582.6	583.4	54.07	583.4	48.44
10	583.4	585.0	585.4	57.47	585.4	52.21
11	585.4	588.4	589.2	61.64	589.2	55.70
12	589.2	590.2	591.0	59.69	591.0	56.27
13	591.0	592.0	593.0	60.53	593.0	53.82
14	593.0	594.8	595.6	60.31	595.6	52.59
15	595.6	597.0	598.6	64.20	598.6	57.92
16	598.6	599.2	600.0	63.42	600.0	58.48
17	600.0	600.6	602.2	62.71	602.2	57.47
18	602.2	603.0	603.6	62.73	603.6	59.15
19	603.6	604.6	605.2	66.35	605.2	58.67
20	605.2	605.8	608.0	63.98	608.0	57.41
21	608.0	610.6	611.4	63.43	611.4	57.29
22	611.4	613.4	615.2	66.48	615.2	57.44
23	615.2	616.0	617.0	63.92	617.0	59.85
24	617.0	618.6	619.6	66.15	619.6	61.79
25	619.6	621.2	622.0	70.13	622.0	62.20
26	622.0	624.8	627.2	76.96	627.2	67.05
27	627.2	628.8	629.8	76.45	629.8	68.91
28	629.8	635.4	636.2	85.09	636.2	79.20
29	636.2	638.8	639.6	84.74	639.6	79.34
30	639.6	640.2	640.8	85.60	640.8	79.72
31	640.8	641.8	642.6	86.64	642.6	81.64
