Sample:	'20211010A(EM)
File name:	r-cds 1;15 2.FDS
Run date:	'08:09:17, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	530.0 nm
EM  Start WL:	550.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	800 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
757.2	42.03
757.4	39.60
757.6	39.73
757.8	41.71
758.0	43.70
758.2	44.28
758.4	44.78
758.6	44.78
758.8	43.95
759.0	44.54
759.2	43.68
759.4	41.30
759.6	43.00
759.8	43.32
760.0	40.54
760.2	39.50
760.4	39.65
760.6	37.38
760.8	39.32
761.0	38.93
761.2	35.95
761.4	37.37
761.6	38.53
761.8	38.11
762.0	40.38
762.2	41.47
762.4	39.55
762.6	39.26
762.8	38.61
763.0	37.70
763.2	38.48
763.4	36.63
763.6	35.47
763.8	35.91
764.0	36.48
764.2	35.53
764.4	36.15
764.6	34.61
764.8	34.61
765.0	37.53
765.2	36.68
765.4	36.30
765.6	35.94
765.8	34.76
766.0	31.85
766.2	31.90
766.4	29.27
766.6	30.85
766.8	33.84
767.0	35.79
767.2	35.59
767.4	34.58
767.6	33.79
767.8	33.03
768.0	33.43
768.2	31.16
768.4	30.02
768.6	29.77
768.8	31.34
769.0	32.81
769.2	34.18
769.4	33.89
769.6	34.58
769.8	33.65
770.0	31.61
770.2	31.23
770.4	30.50
770.6	28.80
770.8	30.26
771.0	31.06
771.2	31.74
771.4	32.30
771.6	31.05
771.8	29.53
772.0	29.34
772.2	29.96
772.4	31.97
772.6	33.45
772.8	33.12
773.0	31.76
773.2	28.21
773.4	27.01
773.6	28.09
773.8	28.96
774.0	29.63
774.2	29.26
774.4	27.17
774.6	26.75
774.8	25.59
775.0	25.46
775.2	26.55
775.4	27.42
775.6	28.17
775.8	27.94
776.0	26.86
776.2	27.38
776.4	28.75
776.6	28.80
776.8	29.04
777.0	28.39
777.2	28.77
777.4	28.24
777.6	26.96
777.8	25.05
778.0	25.27
778.2	25.46
778.4	26.83
778.6	27.65
778.8	26.85
779.0	24.77
779.2	24.32
779.4	24.72
779.6	24.13
779.8	25.50
780.0	25.58
780.2	24.40
780.4	23.37
780.6	23.45
780.8	22.91
781.0	24.16
781.2	23.94
781.4	24.39
781.6	23.30
781.8	22.00
782.0	22.00
782.2	23.80
782.4	25.04
782.6	26.80
782.8	26.99
783.0	27.12
783.2	26.11
783.4	25.55
783.6	25.19
783.8	24.55
784.0	23.52
784.2	24.27
784.4	23.53
784.6	25.08
784.8	26.98
785.0	27.96
785.2	27.14
785.4	26.71
785.6	23.65
785.8	20.65
786.0	20.02
786.2	20.81
786.4	21.72
786.6	23.34
786.8	23.75
787.0	21.50
787.2	22.48
787.4	22.87
787.6	22.90
787.8	23.63
788.0	24.55
788.2	23.76
788.4	24.29
788.6	24.30
788.8	24.78
789.0	23.66
789.2	22.83
789.4	21.26
789.6	21.63
789.8	23.19
790.0	24.54
790.2	22.79
790.4	22.56
790.6	22.07
790.8	22.22
791.0	22.97
791.2	23.70
791.4	23.31
791.6	23.43
791.8	22.31
792.0	21.94
792.2	21.00
792.4	20.73
792.6	21.87
792.8	21.69
793.0	21.02
793.2	21.90
793.4	20.95
793.6	20.71
793.8	21.49
794.0	21.66
794.2	23.50
794.4	24.53
794.6	24.01
794.8	24.75
795.0	23.17
795.2	21.31
795.4	21.00
795.6	20.16
795.8	19.78
796.0	20.52
796.2	20.14
796.4	20.62
796.6	20.79
796.8	21.65
797.0	22.39
797.2	21.26
797.4	20.94
797.6	20.55
797.8	18.66
798.0	18.00
798.2	17.13
798.4	16.13
798.6	16.89
798.8	19.14
799.0	19.14
799.2	20.15
799.4	19.09
799.6	19.54
799.8	20.26
800.0	22.70
800.2	22.80
800.4	24.65
800.6	21.85
800.8	21.83
801.0	21.13
801.2	19.94
801.4	19.73
801.6	20.41
801.8	19.13
802.0	20.36
802.2	20.50
802.4	20.96
802.6	21.87
802.8	22.04
803.0	21.38
803.2	20.78
803.4	19.37
803.6	19.82
803.8	20.70
804.0	19.72
804.2	19.71
804.4	19.18
804.6	18.46
804.8	19.09
805.0	19.49
805.2	18.16
805.4	20.17
805.6	20.69
805.8	20.75
806.0	20.15
806.2	19.00
806.4	17.03
806.6	17.91
806.8	18.60
807.0	18.44
807.2	17.72
807.4	17.74
807.6	17.30
807.8	19.83
808.0	19.91
808.2	18.69
808.4	18.19
808.6	18.11
808.8	18.58
809.0	20.30
809.2	18.58
809.4	18.73
809.6	18.20
809.8	17.47
810.0	17.00
810.2	15.87
810.4	15.45
810.6	16.50
810.8	16.73
811.0	18.26
811.2	18.53
811.4	17.68
811.6	17.41
811.8	17.04
812.0	17.75
812.2	18.62
812.4	18.34
812.6	17.06
812.8	16.01
813.0	15.48
813.2	16.16
813.4	16.46
813.6	17.11
813.8	16.13
814.0	15.47
814.2	14.83
814.4	15.12
814.6	15.28
814.8	16.76
815.0	17.00
815.2	16.82
815.4	16.91
815.6	17.23
815.8	16.81
816.0	16.25
816.2	15.12
816.4	14.86
816.6	16.19
816.8	17.95
817.0	18.68
817.2	18.08
817.4	15.92
817.6	14.30
817.8	14.21
818.0	15.29
818.2	16.39
818.4	18.16
818.6	18.56
818.8	18.12
819.0	17.88
819.2	17.03
819.4	17.28
819.6	18.43
819.8	20.21
820.0	21.30
820.2	21.24
820.4	19.69
820.6	19.53
820.8	19.82
821.0	20.82
821.2	19.66
821.4	17.82
821.6	17.59
821.8	18.82
822.0	19.85
822.2	20.05
822.4	19.22
822.6	19.13
822.8	20.91
823.0	21.28
823.2	22.08
823.4	21.56
823.6	20.81
823.8	19.66
824.0	20.10
824.2	18.34
824.4	20.22
824.6	21.71
824.8	23.48
825.0	23.19
825.2	22.90
825.4	21.63
825.6	22.87
825.8	23.17
826.0	23.92
826.2	23.26
826.4	21.28
826.6	19.19
826.8	18.58
827.0	18.07
827.2	18.27
827.4	18.65
827.6	18.51
827.8	18.57
828.0	18.44
828.2	18.40
828.4	19.21
828.6	19.51
828.8	19.91
829.0	21.02
829.2	20.52
829.4	18.42
829.6	17.62
829.8	18.09
830.0	18.92
830.2	18.88
830.4	18.77
830.6	16.88
830.8	15.49
831.0	16.15
831.2	17.47
831.4	16.89
831.6	17.24
831.8	16.72
832.0	14.86
832.2	13.65
832.4	12.08
832.6	10.41
832.8	11.06
833.0	13.10
833.2	13.90
833.4	14.18
833.6	12.70
833.8	12.03
834.0	11.61
834.2	12.15
834.4	11.98
834.6	10.62
834.8	11.31
835.0	11.99
835.2	12.31
835.4	12.98
835.6	11.71
835.8	10.06
836.0	10.50
836.2	10.48
836.4	10.98
836.6	10.45
836.8	9.465
837.0	9.042
837.2	9.177
837.4	9.817
837.6	10.09
837.8	9.137
838.0	9.396
838.2	9.076
838.4	9.084
838.6	9.391
838.8	9.051
839.0	7.790
839.2	6.578
839.4	6.724
839.6	7.537
839.8	9.247
840.0	8.891
840.2	7.872
840.4	6.103
840.6	5.516
840.8	5.608
841.0	5.876
841.2	6.075
841.4	6.035
841.6	6.623
841.8	6.007
842.0	5.625
842.2	5.325
842.4	5.760
842.6	5.696
842.8	5.968
843.0	5.408
843.2	5.291
843.4	5.561
843.6	5.798
843.8	6.299
844.0	6.156
844.2	5.662
844.4	4.600
844.6	3.576
844.8	4.626
845.0	5.169
845.2	5.349
845.4	5.388
845.6	3.325
845.8	3.322
846.0	4.992
846.2	5.584
846.4	6.177
846.6	6.483
846.8	4.114
847.0	3.634
847.2	3.094
847.4	2.939
847.6	3.363
847.8	3.994
848.0	3.642
848.2	3.865
848.4	3.985
848.6	3.792
848.8	3.735
849.0	3.792
849.2	3.508
849.4	3.865
849.6	3.907
849.8	3.634
850.0	3.564
850.2	3.893
850.4	4.099
850.6	4.368
850.8	4.554
851.0	4.246
851.2	3.676
851.4	3.379
851.6	3.529
851.8	3.195
852.0	3.162
852.2	2.768
852.4	2.345
852.6	1.753
852.8	2.768
853.0	2.825
853.2	2.872
853.4	2.798
853.6	2.144
853.8	1.874
854.0	2.864
854.2	3.349
854.4	3.267
854.6	2.664
854.8	2.539
855.0	3.099
855.2	3.357
855.4	3.468
855.6	2.249
855.8	1.178
856.0	1.412
856.2	1.879
856.4	2.454
856.6	2.985
856.8	2.822
857.0	2.863
857.2	2.846
857.4	3.071
857.6	3.313
857.8	3.429
858.0	2.799
858.2	2.845
858.4	2.934
858.6	3.257
858.8	2.633
859.0	2.527
859.2	2.137
859.4	2.192
859.6	2.653
859.8	2.337
860.0	2.083
860.2	2.304
860.4	2.270
860.6	2.005
860.8	2.489
861.0	1.982
861.2	1.846
861.4	1.602
861.6	1.213
861.8	1.539
862.0	2.385
862.2	2.394
862.4	1.985
862.6	1.597
862.8	1.956
863.0	2.136
863.2	2.273
863.4	1.981
863.6	1.656
863.8	0.816
864.0	1.564
864.2	1.595
864.4	1.630
864.6	2.248
864.8	2.626
865.0	2.769
865.2	2.795
865.4	2.318
865.6	1.958
865.8	1.729
866.0	1.837
866.2	2.298
866.4	2.281
866.6	2.145
866.8	2.595
867.0	2.281
867.2	2.174
867.4	1.839
867.6	1.718
867.8	1.898
868.0	2.596
868.2	2.845
868.4	2.571
868.6	2.546
868.8	2.373
869.0	1.878
869.2	1.814
869.4	1.552
869.6	1.558
869.8	3.035
870.0	3.849
870.2	3.098
870.4	3.027
870.6	2.565
870.8	2.850
871.0	3.332
871.2	2.863
871.4	2.040
871.6	1.998
871.8	2.281
872.0	2.801
872.2	2.630
872.4	2.655
872.6	2.903
872.8	2.804
873.0	3.040
873.2	2.692
873.4	2.292
873.6	2.304
873.8	2.437
874.0	2.099
874.2	2.241
874.4	1.713
874.6	1.709
874.8	1.954
875.0	2.192
875.2	1.837
875.4	1.585
875.6	1.505
875.8	1.686
876.0	2.668
876.2	2.853
876.4	2.532
876.6	1.830
876.8	2.314
877.0	2.286
877.2	3.024
877.4	2.604
877.6	2.324
877.8	1.823
878.0	2.142
878.2	1.628
878.4	1.296
878.6	1.636
878.8	1.840
879.0	2.185
879.2	2.946
879.4	2.781
879.6	2.307
879.8	2.704
880.0	2.115
880.2	1.619
880.4	2.070
880.6	2.107
880.8	2.019
881.0	1.653
881.2	1.067
881.4	1.677
881.6	2.517
881.8	2.780
882.0	2.802
882.2	1.803
882.4	0.998
882.6	0.974
882.8	0.756
883.0	0.947
883.2	1.228
883.4	1.382
883.6	1.917
883.8	1.842
884.0	1.759
884.2	1.602
884.4	1.562
884.6	2.253
884.8	2.531
885.0	2.618
885.2	2.877
885.4	2.591
885.6	2.389
885.8	2.238
886.0	1.575
886.2	1.247
886.4	1.831
886.6	2.263
886.8	2.339
887.0	1.870
887.2	2.028
887.4	2.323
887.6	3.311
887.8	3.476
888.0	3.347
888.2	2.417
888.4	1.586
888.6	0.854
888.8	0.966
889.0	1.161
889.2	1.928
889.4	1.991
889.6	1.427
889.8	0.866
890.0	0.896
890.2	1.658
890.4	2.371
890.6	2.458
890.8	2.289
891.0	1.776
891.2	1.781
891.4	2.000
891.6	1.863
891.8	1.799
892.0	1.848
892.2	1.804
892.4	1.698
892.6	1.520
892.8	1.687
893.0	1.565
893.2	1.579
893.4	1.943
893.6	1.948
893.8	2.133
894.0	2.922
894.2	2.682
894.4	2.043
894.6	1.706
894.8	1.832
895.0	1.493
895.2	1.792
895.4	1.688
895.6	1.346
895.8	1.915
896.0	2.808
896.2	3.214
896.4	3.227
896.6	2.929
896.8	2.311
897.0	1.918
897.2	1.288
897.4	1.639
897.6	1.547
897.8	1.660
898.0	1.617
898.2	1.462
898.4	1.405
898.6	1.754
898.8	1.912
899.0	1.625
899.2	1.632
899.4	1.603
899.6	1.822
899.8	2.080
900.0	2.296

