Sample:	'20211010A(EM)	
File name:	G-CDs 8 800.FDS	
Run date:	'10:43:22, 06/11/2023	
Operator:	Administrator	
Comment:	'	
		
Instrument		
Model:	F-4700 FL Spectrophotometer	
Serial number:	2019-001	
ROM Version:	5J24010 00	
		
Instrument parameters		
Measurement type:	Wavelength scan	
Scan mode:	Emission	
Data mode:	Fluorescence	
EX WL:	400.0 nm	
EM  Start WL:	420.0 nm	
EM  End WL:	800.0 nm	
Scan speed:	1200 nm/min	
Delay:	0.0 s	
EX Slit:	10.0 nm	
EM Slit:	10.0 nm	
PMT Voltage:	440 V	
Response:	0.002 s	
Corrected spectra:	Off	
Shutter control:	On	
		
Data points		
483.2	283.5	
483.4	288.5	
483.6	294.0	
483.8	299.9	
484.0	305.7	
484.2	311.4	
484.4	316.9	
484.6	322.2	
484.8	328.1	
485.0	333.3	
485.2	339.7	
485.4	346.3	
485.6	353.8	
485.8	360.4	
486.0	366.9	
486.2	372.5	
486.4	379.5	
486.6	385.3	
486.8	391.1	
487.0	397.1	
487.2	404.2	
487.4	410.2	
487.6	416.6	
487.8	424.5	
488.0	432.0	
488.2	439.7	
488.4	449.3	
488.6	456.4	
488.8	463.2	
489.0	472.8	
489.2	479.4	
489.4	486.3	
489.6	493.9	
489.8	500.9	
490.0	509.6	
490.2	519.8	
490.4	528.2	
490.6	538.7	
490.8	548.8	
491.0	558.2	
491.2	567.4	
491.4	574.8	
491.6	583.2	
491.8	593.1	
492.0	603.2	
492.2	614.2	
492.4	625.2	
492.6	635.6	
492.8	645.0	
493.0	655.0	
493.2	664.2	
493.4	676.0	
493.6	687.6	
493.8	699.5	
494.0	709.8	
494.2	720.8	
494.4	732.2	
494.6	744.4	
494.8	757.1	
495.0	770.3	
495.2	782.3	
495.4	794.2	
495.6	806.1	
495.8	818.9	
496.0	830.1	
496.2	845.1	
496.4	860.0	
496.6	875.0	
496.8	889.1	
497.0	903.0	
497.2	915.0	
497.4	930.6	
497.6	945.9	
497.8	961.7	
498.0	975.2	
498.2	990.1	
498.4	1006	
498.6	1021	
498.8	1037	
499.0	1055	
499.2	1071	
499.4	1089	
499.6	1107	
499.8	1122	
500.0	1138	
500.2	1157	
500.4	1175	
500.6	1194	
500.8	1212	
501.0	1230	
501.2	1246	
501.4	1264	
501.6	1281	
501.8	1301	
502.0	1318	
502.2	1339	
502.4	1359	
502.6	1380	
502.8	1400	
503.0	1422	
503.2	1440	
503.4	1459	
503.6	1480	
503.8	1500	
504.0	1521	
504.2	1543	
504.4	1561	
504.6	1580	
504.8	1602	
505.0	1625	
505.2	1650	
505.4	1675	
505.6	1696	
505.8	1718	
506.0	1739	
506.2	1764	
506.4	1787	
506.6	1813	
506.8	1835	
507.0	1857	
507.2	1878	
507.4	1899	
507.6	1925	
507.8	1951	
508.0	1975	
508.2	1997	
508.4	2021	
508.6	2042	
508.8	2071	
509.0	2097	
509.2	2121	
509.4	2142	
509.6	2165	
509.8	2188	
510.0	2216	
510.2	2243	
510.4	2267	
510.6	2293	
510.8	2322	
511.0	2351	
511.2	2379	
511.4	2403	
511.6	2425	
511.8	2447	
512.0	2471	
512.2	2500	
512.4	2528	
512.6	2557	
512.8	2585	
513.0	2608	
513.2	2628	
513.4	2653	
513.6	2679	
513.8	2707	
514.0	2736	
514.2	2761	
514.4	2787	
514.6	2816	
514.8	2841	
515.0	2868	
515.2	2899	
515.4	2926	
515.6	2953	
515.8	2981	
516.0	3007	
516.2	3037	
516.4	3065	
516.6	3092	
516.8	3115	
517.0	3135	
517.2	3162	
517.4	3193	
517.6	3218	
517.8	3247	
518.0	3274	
518.2	3298	
518.4	3323	
518.6	3352	
518.8	3376	
519.0	3409	
519.2	3435	
519.4	3461	
519.6	3486	
519.8	3510	
520.0	3535	
520.2	3565	
520.4	3591	
520.6	3616	
520.8	3641	
521.0	3665	
521.2	3691	
521.4	3718	
521.6	3747	
521.8	3771	
522.0	3799	
522.2	3828	
522.4	3854	
522.6	3876	
522.8	3900	
523.0	3922	
523.2	3947	
523.4	3973	
523.6	4001	
523.8	4026	
524.0	4051	
524.2	4078	
524.4	4107	
524.6	4136	
524.8	4159	
525.0	4179	
525.2	4197	
525.4	4221	
525.6	4245	
525.8	4273	
526.0	4295	
526.2	4316	
526.4	4335	
526.6	4355	
526.8	4376	
527.0	4402	
527.2	4429	
527.4	4455	
527.6	4482	
527.8	4501	
528.0	4524	
528.2	4547	
528.4	4570	
528.6	4591	
528.8	4613	
529.0	4633	
529.2	4650	
529.4	4670	
529.6	4690	
529.8	4712	
530.0	4733	
530.2	4756	
530.4	4772	
530.6	4792	
530.8	4807	
531.0	4826	
531.2	4845	
531.4	4868	
531.6	4888	
531.8	4911	
532.0	4930	
532.2	4947	
532.4	4965	
532.6	4985	
532.8	5002	
533.0	5018	
533.2	5033	
533.4	5052	
533.6	5070	
533.8	5088	
534.0	5109	
534.2	5120	
534.4	5131	
534.6	5146	
534.8	5162	
535.0	5177	
535.2	5195	
535.4	5206	
535.6	5220	
535.8	5240	
536.0	5253	
536.2	5275	
536.4	5293	
536.6	5312	
536.8	5321	
537.0	5337	
537.2	5338	
537.4	5354	
537.6	5364	
537.8	5378	
538.0	5384	
538.2	5397	
538.4	5406	
538.6	5428	
538.8	5444	
539.0	5463	
539.2	5473	
539.4	5485	
539.6	5498	
539.8	5504	
540.0	5511	
540.2	5517	
540.4	5522	
540.6	5530	
540.8	5540	
541.0	5548	
541.2	5558	
541.4	5570	
541.6	5592	
541.8	5600	
542.0	5608	
542.2	5610	
542.4	5610	
542.6	5609	
542.8	5619	
543.0	5623	
543.2	5633	
543.4	5641	
543.6	5648	
543.8	5655	
544.0	5663	
544.2	5672	
544.4	5678	
544.6	5685	
544.8	5685	
545.0	5690	
545.2	5696	
545.4	5705	
545.6	5709	
545.8	5707	
546.0	5702	
546.2	5707	
546.4	5718	
546.6	5729	
546.8	5731	
547.0	5726	
547.2	5723	
547.4	5722	
547.6	5723	
547.8	5725	
548.0	5724	
548.2	5727	
548.4	5731	
548.6	5734	
548.8	5733	
549.0	5734	
549.2	5735	
549.4	5732	
549.6	5729	
549.8	5729	
550.0	5727	
550.2	5727	
550.4	5731	
550.6	5730	
550.8	5730	
551.0	5733	
551.2	5738	
551.4	5734	
551.6	5730	
551.8	5724	
552.0	5719	
552.2	5717	
552.4	5714	
552.6	5709	
552.8	5703	
553.0	5699	
553.2	5702	
553.4	5700	
553.6	5691	
553.8	5681	
554.0	5672	
554.2	5669	
554.4	5671	
554.6	5667	
554.8	5655	
555.0	5641	
555.2	5636	
555.4	5629	
555.6	5629	
555.8	5627	
556.0	5619	
556.2	5615	
556.4	5608	
556.6	5598	
556.8	5595	
557.0	5587	
557.2	5577	
557.4	5571	
557.6	5562	
557.8	5557	
558.0	5552	
558.2	5545	
558.4	5533	
558.6	5516	
558.8	5508	
559.0	5498	
559.2	5491	
559.4	5484	
559.6	5474	
559.8	5463	
560.0	5458	
560.2	5448	
560.4	5439	
560.6	5425	
560.8	5421	
561.0	5416	
561.2	5408	
561.4	5396	
561.6	5387	
561.8	5374	
562.0	5365	
562.2	5354	
562.4	5345	
562.6	5330	
562.8	5323	
563.0	5309	
563.2	5293	
563.4	5281	
563.6	5271	
563.8	5262	
564.0	5254	
564.2	5240	
564.4	5227	
564.6	5215	
564.8	5206	
565.0	5197	
565.2	5185	
565.4	5165	
565.6	5149	
565.8	5138	
566.0	5127	
566.2	5116	
566.4	5102	
566.6	5091	
566.8	5079	
567.0	5072	
567.2	5059	
567.4	5044	
567.6	5024	
567.8	5012	
568.0	4997	
568.2	4989	
568.4	4976	
568.6	4962	
568.8	4950	
569.0	4936	
569.2	4922	
569.4	4911	
569.6	4892	
569.8	4872	
570.0	4854	
570.2	4833	
570.4	4820	
570.6	4819	
570.8	4813	
571.0	4800	
571.2	4783	
571.4	4761	
571.6	4741	
571.8	4733	
572.0	4720	
572.2	4710	
572.4	4694	
572.6	4673	
572.8	4654	
573.0	4643	
573.2	4628	
573.4	4619	
573.6	4604	
573.8	4589	
574.0	4578	
574.2	4565	
574.4	4553	
574.6	4538	
574.8	4517	
575.0	4498	
575.2	4481	
575.4	4465	
575.6	4452	
575.8	4438	
576.0	4418	
576.2	4402	
576.4	4389	
576.6	4375	
576.8	4365	
577.0	4355	
577.2	4339	
577.4	4324	
577.6	4306	
577.8	4290	
578.0	4279	
578.2	4264	
578.4	4250	
578.6	4238	
578.8	4220	
579.0	4210	
579.2	4194	
579.4	4173	
579.6	4157	
579.8	4138	
580.0	4119	
580.2	4107	
580.4	4093	
580.6	4082	
580.8	4065	
581.0	4047	
581.2	4033	
581.4	4013	
581.6	3995	
581.8	3985	
582.0	3971	
582.2	3958	
582.4	3944	
582.6	3923	
582.8	3908	
583.0	3895	
583.2	3881	
583.4	3869	
583.6	3855	
583.8	3840	
584.0	3831	
584.2	3816	
584.4	3802	
584.6	3788	
584.8	3774	
585.0	3759	
585.2	3744	
585.4	3722	
585.6	3707	
585.8	3688	
586.0	3675	
586.2	3662	
586.4	3646	
586.6	3631	
586.8	3621	
587.0	3607	
587.2	3585	
587.4	3565	
587.6	3550	
587.8	3537	
588.0	3530	
588.2	3521	
588.4	3504	
588.6	3489	
588.8	3478	
589.0	3463	
589.2	3448	
589.4	3429	
589.6	3413	
589.8	3399	
590.0	3390	
590.2	3376	
590.4	3364	
590.6	3349	
590.8	3334	
591.0	3321	
591.2	3304	
591.4	3288	
591.6	3277	
591.8	3263	
592.0	3248	
592.2	3231	
592.4	3212	
592.6	3200	
592.8	3191	
593.0	3178	
593.2	3165	
593.4	3146	
593.6	3134	
593.8	3119	
594.0	3109	
594.2	3093	
594.4	3082	
594.6	3063	
594.8	3054	
595.0	3040	
595.2	3025	
595.4	3012	
595.6	2999	
595.8	2984	
596.0	2980	
596.2	2968	
596.4	2949	
596.6	2935	
596.8	2918	
597.0	2902	
597.2	2893	
597.4	2879	
597.6	2864	
597.8	2857	
598.0	2846	
598.2	2833	
598.4	2819	
598.6	2802	
598.8	2784	
599.0	2774	
599.2	2764	
599.4	2750	
599.6	2738	
599.8	2725	
600.0	2708	
600.2	2697	
600.4	2682	
600.6	2665	
600.8	2654	
601.0	2646	
601.2	2635	
601.4	2628	
601.6	2613	
601.8	2601	
602.0	2591	
602.2	2582	
602.4	2566	
602.6	2555	
602.8	2543	
603.0	2532	
603.2	2522	
603.4	2505	
603.6	2487	
603.8	2474	
604.0	2465	
604.2	2451	
604.4	2441	
604.6	2427	
604.8	2413	
605.0	2401	
605.2	2389	
605.4	2374	
605.6	2364	
605.8	2355	
606.0	2346	
606.2	2337	
606.4	2320	
606.6	2304	
606.8	2291	
607.0	2279	
607.2	2272	
607.4	2261	
607.6	2250	
607.8	2236	
608.0	2223	
608.2	2213	
608.4	2200	
608.6	2189	
608.8	2180	
609.0	2169	
609.2	2159	
609.4	2150	
609.6	2139	
609.8	2127	
610.0	2116	
610.2	2107	
610.4	2094	
610.6	2084	
610.8	2074	
611.0	2061	
611.2	2050	
611.4	2039	
611.6	2026	
611.8	2016	
612.0	2003	
612.2	1994	
612.4	1984	
612.6	1968	
612.8	1955	
613.0	1943	
613.2	1933	
613.4	1924	
613.6	1916	
613.8	1903	
614.0	1893	
614.2	1884	
614.4	1875	
614.6	1864	
614.8	1857	
615.0	1848	
615.2	1839	
615.4	1826	
615.6	1813	
615.8	1801	
616.0	1789	
616.2	1779	
616.4	1770	
616.6	1760	
616.8	1754	
617.0	1748	
617.2	1738	
617.4	1728	
617.6	1718	
617.8	1708	
618.0	1697	
618.2	1688	
618.4	1675	
618.6	1667	
618.8	1659	
619.0	1649	
619.2	1638	
619.4	1629	
619.6	1617	
619.8	1607	
620.0	1596	
620.2	1586	
620.4	1577	
620.6	1571	
620.8	1562	
621.0	1551	
621.2	1540	
621.4	1530	
621.6	1521	
621.8	1514	
622.0	1506	
622.2	1498	
622.4	1488	
622.6	1480	
622.8	1471	
623.0	1463	
623.2	1457	
623.4	1449	
623.6	1437	
623.8	1430	
624.0	1421	
624.2	1413	
624.4	1405	
624.6	1395	
624.8	1384	
625.0	1375	
625.2	1364	
625.4	1356	
625.6	1350	
625.8	1343	
626.0	1335	
626.2	1324	
626.4	1313	
626.6	1306	
626.8	1298	
627.0	1292	
627.2	1285	
627.4	1278	
627.6	1270	
627.8	1263	
628.0	1253	
628.2	1244	
628.4	1237	
628.6	1230	
628.8	1224	
629.0	1214	
629.2	1204	
629.4	1198	
629.6	1189	
629.8	1182	
630.0	1176	
630.2	1168	
630.4	1161	
630.6	1153	
630.8	1144	
631.0	1136	
631.2	1129	
631.4	1121	
631.6	1118	
631.8	1112	
632.0	1105	
632.2	1097	
632.4	1090	
632.6	1081	
632.8	1077	
633.0	1071	
633.2	1064	
633.4	1057	
633.6	1050	
633.8	1041	
634.0	1036	
634.2	1031	
634.4	1024	
634.6	1016	
634.8	1010	
635.0	1002	
635.2	995.5	
635.4	992.6	
635.6	987.6	
635.8	980.3	
636.0	974.5	
636.2	966.5	
636.4	959.6	
636.6	955.5	
636.8	951.3	
637.0	943.7	
637.2	935.0	
637.4	927.3	
637.6	920.3	
637.8	915.1	
638.0	910.9	
638.2	906.3	
638.4	900.0	
638.6	893.7	
638.8	887.3	
639.0	881.7	
639.2	877.0	
639.4	871.9	
639.6	864.3	
639.8	858.4	
640.0	853.4	
640.2	848.2	
640.4	841.7	
640.6	834.8	
640.8	827.2	
641.0	824.0	
641.2	821.2	
641.4	816.6	
641.6	811.3	
641.8	804.9	
642.0	798.4	
642.2	793.2	
642.4	786.9	
642.6	780.2	
642.8	775.0	
643.0	768.4	
643.2	764.0	
643.4	761.3	
643.6	755.8	
643.8	750.5	
644.0	746.3	
644.2	739.8	
644.4	734.1	
644.6	730.4	
644.8	726.6	
645.0	721.0	
645.2	716.5	
645.4	713.0	
645.6	710.5	
645.8	706.2	
646.0	702.4	
646.2	696.3	
646.4	690.8	
646.6	685.5	
646.8	680.8	
647.0	675.9	
647.2	670.4	
647.4	667.8	
647.6	664.8	
647.8	658.4	
648.0	653.2	
648.2	648.8	
648.4	643.4	
648.6	640.7	
648.8	636.5	
649.0	630.3	
649.2	626.8	
649.4	622.9	
649.6	618.2	
649.8	614.2	
650.0	610.9	
650.2	606.3	
650.4	602.5	
650.6	596.7	
650.8	592.7	
651.0	587.7	
651.2	584.4	
651.4	580.8	
651.6	576.9	
651.8	571.9	
652.0	568.7	
652.2	563.2	
652.4	560.5	
652.6	557.4	
652.8	553.5	
653.0	550.5	
653.2	545.8	
653.4	541.5	
653.6	539.6	
653.8	536.9	
654.0	532.3	
654.2	528.2	
654.4	523.9	
654.6	521.4	
654.8	518.7	
655.0	515.7	
655.2	512.3	
655.4	508.0	
655.6	503.9	
655.8	499.0	
656.0	494.2	
656.2	491.0	
656.4	488.6	
656.6	485.1	
656.8	482.2	
657.0	478.7	
657.2	475.8	
657.4	472.1	
657.6	469.0	
657.8	465.7	
658.0	464.0	
658.2	462.1	
658.4	459.5	
658.6	453.6	
658.8	448.7	
659.0	444.1	
659.2	442.2	
659.4	441.2	
659.6	439.1	
659.8	436.4	
660.0	434.3	
660.2	430.1	
660.4	426.7	
660.6	423.2	
660.8	418.9	
661.0	415.9	
661.2	413.7	
661.4	411.0	
661.6	408.5	
661.8	405.2	
662.0	401.2	
662.2	398.1	
662.4	394.2	
662.6	391.1	
662.8	388.0	
663.0	386.5	
663.2	384.3	
663.4	383.3	
663.6	380.9	
663.8	377.1	
664.0	372.9	
664.2	371.0	
664.4	369.0	
664.6	366.4	
664.8	363.9	
665.0	361.7	
665.2	359.0	
665.4	356.4	
665.6	354.3	
665.8	350.2	
666.0	346.4	
666.2	343.6	
666.4	342.5	
666.6	340.5	
666.8	339.3	
667.0	336.9	
667.2	332.5	
667.4	328.5	
667.6	327.5	
667.8	325.7	
668.0	324.9	
668.2	322.7	
668.4	319.7	
668.6	316.6	
668.8	314.0	
669.0	312.3	
669.2	310.2	
669.4	307.4	
669.6	306.3	
669.8	304.1	
670.0	300.9	
670.2	298.3	
670.4	295.9	
670.6	292.7	
670.8	291.6	
671.0	289.5	
671.2	286.7	
671.4	285.0	
