Sample:	'20211010A(EM)	
File name:	G-CDs 8 800.FDS	
Run date:	'10:43:22, 06/11/2023	
Operator:	Administrator	
Comment:	'	
		
Instrument		
Model:	F-4700 FL Spectrophotometer	
Serial number:	2019-001	
ROM Version:	5J24010 00	
		
Instrument parameters		
Measurement type:	Wavelength scan	
Scan mode:	Emission	
Data mode:	Fluorescence	
EX WL:	400.0 nm	
EM  Start WL:	420.0 nm	
EM  End WL:	800.0 nm	
Scan speed:	1200 nm/min	
Delay:	0.0 s	
EX Slit:	10.0 nm	
EM Slit:	10.0 nm	
PMT Voltage:	440 V	
Response:	0.002 s	
Corrected spectra:	Off	
Shutter control:	On	
		
Data points		
715.4	60.18	
715.6	59.63	
715.8	58.97	
716.0	58.47	
716.2	58.36	
716.4	57.63	
716.6	57.01	
716.8	56.48	
717.0	56.32	
717.2	56.17	
717.4	56.40	
717.6	56.06	
717.8	55.02	
718.0	54.16	
718.2	53.32	
718.4	52.55	
718.6	52.52	
718.8	52.43	
719.0	52.50	
719.2	52.25	
719.4	51.66	
719.6	51.32	
719.8	51.00	
720.0	50.81	
720.2	50.97	
720.4	50.27	
720.6	49.79	
720.8	49.35	
721.0	48.72	
721.2	48.60	
721.4	48.34	
721.6	47.40	
721.8	46.84	
722.0	46.90	
722.2	46.46	
722.4	46.41	
722.6	46.15	
722.8	45.67	
723.0	44.92	
723.2	44.59	
723.4	44.11	
723.6	44.30	
723.8	44.07	
724.0	43.87	
724.2	43.06	
724.4	42.66	
724.6	42.51	
724.8	42.75	
725.0	42.50	
725.2	41.97	
725.4	40.99	
725.6	40.52	
725.8	39.41	
726.0	39.31	
726.2	39.54	
726.4	39.74	
726.6	39.82	
726.8	39.51	
727.0	38.41	
727.2	37.97	
727.4	37.71	
727.6	37.63	
727.8	37.90	
728.0	38.09	
728.2	37.62	
728.4	36.95	
728.6	36.40	
728.8	35.97	
729.0	36.15	
729.2	36.13	
729.4	35.25	
729.6	34.54	
729.8	33.95	
730.0	33.76	
730.2	33.97	
730.4	33.64	
730.6	33.76	
730.8	33.56	
731.0	33.07	
731.2	32.51	
731.4	32.09	
731.6	31.80	
731.8	32.03	
732.0	31.96	
732.2	31.84	
732.4	31.37	
732.6	30.90	
732.8	30.54	
733.0	30.12	
733.2	29.70	
733.4	29.72	
733.6	29.74	
733.8	29.54	
734.0	29.26	
734.2	28.99	
734.4	28.37	
734.6	28.42	
734.8	28.52	
735.0	28.54	
735.2	28.20	
735.4	27.71	
735.6	26.88	
735.8	26.76	
736.0	26.81	
736.2	26.95	
736.4	26.67	
736.6	26.36	
736.8	26.06	
737.0	26.09	
737.2	25.77	
737.4	25.90	
737.6	25.65	
737.8	25.53	
738.0	25.32	
738.2	25.17	
738.4	24.45	
738.6	24.51	
738.8	24.48	
739.0	24.35	
739.2	23.85	
739.4	23.58	
739.6	22.87	
739.8	22.53	
740.0	22.63	
740.2	22.78	
740.4	22.78	
740.6	22.84	
740.8	22.63	
741.0	22.14	
741.2	21.99	
741.4	21.81	
741.6	21.80	
741.8	21.89	
742.0	21.68	
742.2	21.64	
742.4	21.47	
742.6	21.15	
742.8	20.97	
743.0	20.63	
743.2	19.83	
743.4	19.81	
743.6	19.57	
743.8	19.43	
744.0	19.44	
744.2	19.57	
744.4	19.47	
744.6	19.86	
744.8	19.73	
745.0	19.37	
745.2	19.04	
745.4	18.57	
745.6	18.49	
745.8	18.35	
746.0	18.14	
746.2	18.01	
746.4	18.33	
746.6	18.35	
746.8	18.50	
747.0	18.10	
747.2	17.81	
747.4	17.47	
747.6	17.45	
747.8	17.29	
748.0	17.02	
748.2	16.87	
748.4	16.73	
748.6	16.80	
748.8	16.46	
749.0	16.34	
749.2	16.07	
749.4	15.98	
749.6	15.88	
749.8	16.17	
750.0	16.07	
750.2	15.83	
750.4	15.73	
750.6	15.73	
750.8	15.79	
751.0	15.86	
751.2	15.50	
751.4	15.08	
751.6	14.85	
751.8	14.96	
752.0	15.12	
752.2	15.23	
752.4	15.18	
752.6	15.26	
752.8	14.87	
753.0	14.67	
753.2	14.53	
753.4	14.20	
753.6	14.10	
753.8	13.90	
754.0	13.60	
754.2	13.73	
754.4	13.95	
754.6	13.90	
754.8	13.73	
755.0	13.50	
755.2	13.32	
755.4	13.28	
755.6	13.14	
755.8	12.90	
756.0	12.74	
756.2	12.60	
756.4	12.73	
756.6	12.59	
756.8	12.73	
757.0	12.68	
757.2	12.57	
757.4	12.30	
757.6	12.07	
757.8	11.82	
758.0	11.88	
758.2	12.10	
758.4	12.23	
758.6	12.05	
758.8	11.90	
759.0	11.63	
759.2	11.38	
759.4	11.40	
759.6	11.47	
759.8	11.13	
760.0	11.21	
760.2	11.17	
760.4	11.18	
760.6	11.01	
760.8	11.05	
761.0	10.76	
761.2	10.64	
761.4	10.77	
761.6	10.67	
761.8	10.38	
762.0	10.51	
762.2	10.48	
762.4	10.27	
762.6	10.38	
762.8	10.21	
763.0	10.06	
763.2	10.02	
763.4	10.16	
763.6	9.916	
763.8	9.981	
764.0	9.876	
764.2	9.835	
764.4	9.717	
764.6	9.689	
764.8	9.419	
765.0	9.378	
765.2	9.262	
765.4	9.283	
765.6	9.253	
765.8	9.240	
766.0	9.127	
766.2	8.827	
766.4	8.678	
766.6	8.614	
766.8	8.723	
767.0	8.799	
767.2	8.832	
767.4	8.576	
767.6	8.590	
767.8	8.630	
768.0	8.725	
768.2	8.604	
768.4	8.530	
768.6	8.243	
768.8	8.259	
769.0	8.295	
769.2	8.251	
769.4	8.240	
769.6	8.136	
769.8	8.162	
770.0	8.035	
770.2	7.842	
770.4	7.546	
770.6	7.478	
770.8	7.344	
771.0	7.526	
771.2	7.539	
771.4	7.592	
771.6	7.299	
771.8	7.301	
772.0	7.254	
772.2	7.225	
772.4	7.316	
772.6	7.351	
772.8	7.114	
773.0	7.304	
773.2	7.326	
773.4	7.305	
773.6	7.159	
773.8	7.147	
774.0	6.874	
774.2	6.938	
774.4	6.986	
774.6	6.968	
774.8	6.803	
775.0	6.783	
775.2	6.478	
775.4	6.428	
775.6	6.529	
775.8	6.451	
776.0	6.476	
776.2	6.512	
776.4	6.505	
776.6	6.537	
776.8	6.612	
777.0	6.437	
777.2	6.191	
777.4	6.056	
777.6	6.026	
777.8	5.966	
778.0	6.194	
778.2	6.359	
778.4	6.352	
778.6	6.245	
778.8	6.204	
779.0	6.146	
779.2	6.178	
779.4	6.192	
779.6	6.129	
779.8	5.976	
780.0	5.997	
780.2	6.194	
780.4	6.134	
780.6	5.976	
780.8	5.907	
781.0	5.937	
781.2	5.881	
781.4	5.878	
781.6	5.677	
781.8	5.696	
782.0	5.764	
782.2	5.982	
782.4	6.023	
782.6	6.071	
782.8	5.941	
783.0	5.905	
783.2	5.685	
783.4	5.801	
783.6	5.859	
783.8	6.077	
784.0	6.190	
784.2	6.033	
784.4	5.821	
784.6	5.821	
784.8	5.904	
785.0	6.174	
785.2	6.405	
785.4	6.290	
785.6	6.148	
785.8	5.958	
786.0	6.049	
786.2	6.133	
786.4	6.347	
786.6	6.270	
786.8	6.205	
787.0	6.120	
787.2	6.161	
787.4	6.204	
787.6	6.491	
787.8	6.549	
788.0	6.652	
788.2	6.834	
788.4	6.817	
788.6	6.798	
788.8	6.848	
789.0	6.816	
789.2	6.825	
789.4	6.999	
789.6	7.071	
789.8	7.076	
790.0	7.179	
790.2	7.097	
790.4	7.140	
790.6	7.361	
790.8	7.461	
791.0	7.592	
791.2	7.684	
791.4	7.782	
791.6	7.884	
791.8	8.088	
792.0	7.974	
792.2	7.821	
792.4	7.753	
792.6	7.936	
792.8	7.995	
793.0	8.192	
793.2	8.182	
793.4	8.331	
793.6	8.647	
793.8	8.906	
794.0	8.900	
794.2	8.836	
794.4	8.882	
794.6	8.868	
794.8	9.057	
795.0	9.062	
795.2	9.133	
795.4	9.145	
795.6	9.168	
795.8	9.194	
796.0	9.315	
796.2	9.455	
796.4	9.736	
796.6	9.875	
796.8	9.764	
797.0	9.842	
797.2	9.759	
797.4	9.831	
797.6	9.851	
797.8	9.951	
798.0	9.996	
798.2	10.15	
798.4	10.25	
798.6	10.19	
798.8	10.33	
799.0	10.38	
799.2	10.27	
799.4	10.22	
799.6	10.02	
799.8	10.13	
800.0	10.80	
		
